region,price,type,sqfeet,beds,baths,cats_allowed,dogs_allowed,smoking_allowed,comes_furnished,laundry_options,parking_options,state
milwaukee,840,apartment,672,1,1,1,0,1,0,laundry in bldg,off-street parking,wi
kalamazoo,935,apartment,720,1,1,1,1,1,0,laundry in bldg,off-street parking,mi
huntsville / decatur,999,apartment,1470,3,2.5,1,1,1,0,w/d in unit,off-street parking,al
flagstaff / sedona,1199,apartment,676,1,1,1,1,0,0,w/d in unit,carport,az
wichita,1074,townhouse,1644,4,2,1,1,1,0,w/d hookups,attached garage,ks
daytona beach,1379,apartment,1154,2,2,1,1,1,0,w/d in unit,NA,fl
des moines,655,apartment,682,1,1,1,1,0,0,laundry in bldg,attached garage,ia
wichita,518,apartment,580,1,1,0,0,0,0,laundry in bldg,off-street parking,ks
new hampshire,1550,apartment,691,1,1,1,1,1,0,w/d in unit,off-street parking,nh
pensacola,1142,apartment,815,1,1,1,1,1,0,w/d hookups,street parking,fl
chattanooga,625,apartment,620,1,1,1,1,1,0,NA,off-street parking,tn
florence,1950,townhouse,1100,2,2,0,0,0,1,w/d in unit,off-street parking,sc
rochester,1236,townhouse,810,2,1,1,1,1,0,w/d in unit,off-street parking,ny
ames,1500,apartment,1650,3,2,1,1,1,0,laundry on site,detached garage,ia
hawaii,2595,condo,900,1,1,0,0,0,1,w/d in unit,attached garage,hi
billings,572,house,1823,3,2,1,1,1,1,NA,attached garage,mt
birmingham,799,apartment,702,1,1,1,1,1,0,w/d in unit,off-street parking,al
topeka,875,apartment,1488,3,2.5,0,0,1,0,NA,NA,ks
southern maryland,1790,apartment,562,0,1,1,1,1,0,w/d in unit,NA,md
beaumont / port arthur,730,apartment,750,1,1,0,0,1,0,NA,NA,tx
phoenix,865,apartment,702,2,1,1,1,1,0,w/d in unit,carport,az
harrisburg,800,apartment,1000,2,1,0,0,0,0,w/d hookups,off-street parking,pa
baltimore,926,apartment,720,2,1,1,1,1,0,laundry on site,NA,md
new hampshire,1875,apartment,960,2,2,1,1,1,0,w/d in unit,attached garage,nh
houston,794,apartment,750,1,1,0,0,1,0,NA,NA,tx
long island,600,apartment,105,1,1,0,0,1,0,no laundry on site,street parking,ny
rochester,1101,apartment,699,1,1,1,1,0,0,w/d in unit,NA,ny
albany,521,apartment,595,1,1,1,1,1,0,laundry on site,off-street parking,ga
fayetteville,725,apartment,900,2,1.5,1,1,1,0,w/d in unit,off-street parking,nc
kenosha-racine,850,apartment,710,1,1,1,1,1,0,laundry in bldg,NA,wi
ann arbor,1195,apartment,600,1,1,1,0,0,0,laundry on site,off-street parking,mi
redding,860,apartment,605,1,1,1,1,1,0,laundry in bldg,NA,ca
"quad cities, IA/IL",950,house,1212,3,1.5,1,1,1,0,NA,detached garage,il
reno / tahoe,289,apartment,250,0,1,1,1,1,1,laundry on site,NA,nv
san marcos,715,apartment,933,2,2,1,1,1,0,w/d in unit,off-street parking,tx
tampa bay area,800,house,1321,3,2,1,1,1,0,w/d in unit,attached garage,fl
wichita,475,apartment,400,2,1,0,0,0,0,laundry on site,off-street parking,ks
north mississippi,930,apartment,1025,2,2,1,1,1,0,w/d hookups,NA,ms
inland empire,1670,apartment,853,1,1,1,1,1,0,w/d in unit,carport,ca
frederick,1208,townhouse,1900,3,2.5,1,1,1,0,w/d hookups,off-street parking,md
memphis,1040,apartment,727,1,1,1,1,1,0,w/d in unit,off-street parking,tn
san marcos,715,apartment,933,2,2,0,0,1,0,NA,NA,tx
jackson,875,apartment,1349,3,2,0,0,1,0,NA,NA,tn
madison,1175,apartment,850,2,1,1,0,1,0,NA,off-street parking,wi
roanoke,650,apartment,990,2,1,1,1,0,0,laundry in bldg,off-street parking,va
south florida,1195,apartment,860,1,1,1,1,1,0,laundry on site,off-street parking,fl
dallas / fort worth,1890,apartment,1080,2,1,0,0,1,0,NA,NA,tx
san diego,2291,apartment,1034,2,2,1,1,1,0,w/d in unit,carport,ca
raleigh / durham / CH,1016,apartment,990,2,2,1,1,1,0,w/d in unit,street parking,nc
syracuse,1595,apartment,1138,2,2,1,1,0,0,w/d in unit,detached garage,ny
columbus,1310,apartment,1307,2,2,1,1,1,0,w/d in unit,off-street parking,oh
little rock,830,apartment,1050,2,2,1,1,0,0,w/d in unit,off-street parking,ar
mansfield,375,apartment,500,1,1,0,0,1,0,laundry in bldg,off-street parking,oh
provo / orem,1119,apartment,689,1,1,0,0,1,0,NA,NA,ut
college station,849,apartment,791,1,1,1,1,1,0,NA,NA,tx
reading,1013,apartment,816,2,1,1,1,1,0,laundry on site,off-street parking,pa
champaign urbana,575,apartment,1100,3,3,0,0,1,0,NA,NA,il
boise,1995,house,2000,4,3,1,1,0,0,w/d in unit,attached garage,id
madison,915,apartment,448,1,1,1,1,1,0,laundry in bldg,NA,wi
eugene,619,apartment,1042,4,2,1,1,0,1,w/d in unit,attached garage,or
norfolk / hampton roads,1295,apartment,1000,2,2,1,1,1,0,w/d in unit,off-street parking,va
inland empire,1085,apartment,825,1,1,1,1,0,0,w/d hookups,NA,ca
colorado springs,1462,apartment,1220,3,2,1,1,1,0,NA,NA,co
atlanta,1505,apartment,1022,2,2,0,0,1,0,NA,NA,ga
topeka,595,apartment,750,2,1,1,1,0,0,laundry on site,off-street parking,ks
oklahoma city,825,duplex,1100,2,1,1,1,0,0,w/d hookups,attached garage,ok
ventura county,2470,apartment,1045,2,2,0,0,1,0,w/d in unit,carport,ca
medford-ashland,1495,house,1368,3,2,1,1,0,0,w/d hookups,attached garage,or
san marcos,485,apartment,1500,4,4,1,1,1,1,w/d in unit,NA,tx
oklahoma city,725,apartment,1154,2,1.5,0,0,1,0,NA,NA,ok
baton rouge,719,apartment,660,1,1,1,1,1,0,w/d hookups,NA,la
daytona beach,999,apartment,835,1,1,1,1,1,0,w/d hookups,NA,fl
rhode island,2400,apartment,1750,2,2,1,1,1,0,w/d in unit,off-street parking,ri
orlando,1301,apartment,852,1,1,1,1,1,0,w/d in unit,attached garage,fl
rochester,604,apartment,630,1,1,1,1,0,0,laundry in bldg,NA,ny
ventura county,1920,apartment,646,1,1,1,1,1,0,w/d in unit,carport,ca
galveston,914,apartment,661,1,1,1,1,1,0,w/d hookups,carport,tx
central NJ,2739,apartment,1307,3,2,0,0,1,0,w/d in unit,NA,nj
boston,2815,apartment,500,1,1,0,0,1,0,laundry on site,detached garage,ma
syracuse,1437,apartment,840,1,1,1,1,0,0,w/d in unit,detached garage,ny
flint,1003,apartment,1150,2,2,1,1,1,0,laundry in bldg,carport,mi
waco,1198,apartment,1004,2,2,1,1,0,0,NA,NA,tx
san diego,2495,house,1100,2,1,0,0,0,0,w/d in unit,off-street parking,ca
dallas / fort worth,1860,apartment,1095,2,0,0,0,1,0,NA,NA,tx
reading,1330,apartment,1130,2,2,1,1,0,0,w/d hookups,off-street parking,pa
kenosha-racine,936,apartment,1375,3,2,0,0,1,0,NA,NA,wi
holland,1050,townhouse,1017,2,1.5,1,1,1,0,w/d in unit,carport,mi
tyler / east TX,1335,manufactured,1568,4,2,1,1,1,0,w/d hookups,off-street parking,tx
south coast,1800,apartment,1200,2,2,0,0,0,0,NA,off-street parking,ma
boulder,1600,apartment,830,2,1,1,0,0,0,laundry on site,NA,co
fayetteville,850,duplex,1200,3,2,1,1,0,0,w/d in unit,attached garage,ar
